file,problem,p,m,q,na,nb,nc,lb,ub
cyclic/cert_cyclic_q13_n01.pb.txt,cyclic_q13_n01,13,1,13,1,1,1,1,-
cyclic/cert_cyclic_q13_n02.pb.txt,cyclic_q13_n02,13,1,13,2,2,2,2,-
cyclic/cert_cyclic_q13_n03.pb.txt,cyclic_q13_n03,13,1,13,3,3,3,3,-
cyclic/cert_cyclic_q13_n04.pb.txt,cyclic_q13_n04,13,1,13,4,4,4,4,-
cyclic/cert_cyclic_q13_n05.pb.txt,cyclic_q13_n05,13,1,13,5,5,5,8,-
cyclic/cert_cyclic_q16_n01.pb.txt,cyclic_q16_n01,2,4,16,1,1,1,1,-
cyclic/cert_cyclic_q16_n02.pb.txt,cyclic_q16_n02,2,4,16,2,2,2,3,-
cyclic/cert_cyclic_q16_n03.pb.txt,cyclic_q16_n03,2,4,16,3,3,3,3,-
cyclic/cert_cyclic_q16_n04.pb.txt,cyclic_q16_n04,2,4,16,4,4,4,7,-
cyclic/cert_cyclic_q16_n05.pb.txt,cyclic_q16_n05,2,4,16,5,5,5,5,-
cyclic/cert_cyclic_q16_n06.pb.txt,cyclic_q16_n06,2,4,16,6,6,6,9,-
extfield/cert_extfield_q02_n01.pb.txt,extfield_q02_n01,2,1,2,1,1,1,1,1
extfield/cert_extfield_q02_n02.pb.txt,extfield_q02_n02,2,1,2,2,2,2,3,3
extfield/cert_extfield_q02_n03.pb.txt,extfield_q02_n03,2,1,2,3,3,3,6,6
extfield/cert_extfield_q02_n04.pb.txt,extfield_q02_n04,2,1,2,4,4,4,8,9
extfield/cert_extfield_q02_n05.pb.txt,extfield_q02_n05,2,1,2,5,5,5,13,13
extfield/cert_extfield_q02_n06.pb.txt,extfield_q02_n06,2,1,2,6,6,6,15,15
extfield/cert_extfield_q02_n07.pb.txt,extfield_q02_n07,2,1,2,7,7,7,17,22
extfield/cert_extfield_q02_n08.pb.txt,extfield_q02_n08,2,1,2,8,8,8,19,-
extfield/cert_extfield_q02_n09.pb.txt,extfield_q02_n09,2,1,2,9,9,9,24,-
extfield/cert_extfield_q02_n10.pb.txt,extfield_q02_n10,2,1,2,10,10,10,26,-
extfield/cert_extfield_q02_n11.pb.txt.gz,extfield_q02_n11,2,1,2,11,11,11,29,-
extfield/cert_extfield_q03_n01.pb.txt,extfield_q03_n01,3,1,3,1,1,1,1,-
extfield/cert_extfield_q03_n02.pb.txt,extfield_q03_n02,3,1,3,2,2,2,3,-
extfield/cert_extfield_q03_n03.pb.txt,extfield_q03_n03,3,1,3,3,3,3,6,-
extfield/cert_extfield_q03_n04.pb.txt,extfield_q03_n04,3,1,3,4,4,4,8,-
